,itemVal,closedBy,table,isPaid,canceledBy,isDelivered,sendTime,cancelCap,cancelTime,itemCount,sentBy,from,restName,orderTime,closedAt,extras,item,orderCaption
0,,,,,,,,,,,,,,,,,,
1,5.0,,s7,0.0,vharmony,1.0,2021-07-11 18:26:32.800063,iade,2021-07-11 18:26:17.065,1.0,SamBarista,adyan,Vivaldi Harmony,2021-07-11 18:25:43.194262,,[],SU,
2,10.0,,b3,False,vivaldisoganli,True,,,2021-07-16 23:31:03.252874,2.0,,vivaldisoganli,Vivaldi Soğanlı,2021-07-16 23:24:42.717548,,[],SU,
3,27.0,,d7,False,vharmonyadmin,True,2021-08-12 20:17:06.443480,başka masaya girildi,2021-08-12 20:31:09.448,1.0,vharmonyadmin,Ayşe Yılmaz,Vivaldi Harmony,2021-08-12 20:10:10.648732,,[],Vivaldi Brownie,
4,421.35,,b3,False,cozluceadmin,True,,,2021-06-09 15:07:03.280770,1590.0,,cozluceadmin,Vivaldi Özlüce,2021-06-09 15:06:46.162849,,[],EL YAPIMI BELÇİKA ÇİKOLATASI GR,
5,60.0,,d2,False,vharmonyadmin,True,2021-09-06 18:55:05.509438,MÜKERRER,2021-09-06 18:58:24.154,2.0,cerentomak,adyan,Vivaldi Harmony,2021-09-06 18:52:34.290410,,[],VİVALDİ ÇİLEK,
6,30.0,,s6,False,cerentomak,True,,mukerrer,2021-07-25 21:16:16.413847,1.0,,vharmony,Vivaldi Harmony,2021-07-25 20:35:35.529,,[],VİVALDİ MUZ,
7,5.0,,d11,False,vharmonyadmin,True,2021-08-22 20:17:25.514672,İADE EDİLDİ,2021-08-22 20:30:16.909,1.0,cerentomak,Ayberk Sınık,Vivaldi Harmony,2021-08-22 20:14:40.049050,,[],SU,
8,5.0,,d6,False,vharmony,True,2021-08-01 21:36:02.836977,iade,2021-08-01 21:47:36.987,1.0,zeynepsurucu,adyan,Vivaldi Harmony,2021-08-01 21:35:41.158144,,[],SU,
9,36.0,,b3,False,vivaldisoganli,True,,,2021-07-21 16:05:16.477690,3.0,,vivaldisoganli,Vivaldi Soğanlı,2021-07-21 15:41:41.284657,,[],GELENEKSEL TÜRK KAHVESİ,
10,10.0,,b5,False,cozluceadmin,True,,,2021-07-19 21:49:09.146,2.0,,cozluceadmin,Vivaldi Özlüce,2021-07-19 20:28:08.350,,[],ÇAY,
11,36.0,,b2,False,vharmony,True,2021-07-31 18:35:57.739684,take away iptal,2021-07-31 18:36:10.670,2.0,umuttomak,umuttomak,Vivaldi Harmony,2021-07-31 18:35:48.905250,,[],EL YAPIMI LİMONATA,
12,12.0,,b8,False,cgorukleadmin,True,,,2021-08-01 22:27:40.053424,1.0,,vgorukle,Vivaldi Görükle,2021-08-01 20:27:09.008156,,[],GELENEKSEL TÜRK KAHVESİ,
13,5.0,,d7,False,vharmonyadmin,True,2021-08-15 16:59:21.939949,mükerrer,2021-08-15 17:19:35.788,1.0,cerentomak,Ayşe Yılmaz,Vivaldi Harmony,2021-08-15 16:58:09.489398,,[],SİYAH ÇAY,
14,15.0,,d11,False,vharmonyadmin,True,2021-09-14 10:17:06.524000+00:00,başka hs a girilecek,2021-09-14 17:01:55.050,3.0,görkemkahraman,görkemkahraman,Vivaldi Harmony,2021-09-14 10:17:00.109000+00:00,,[],SİYAH ÇAY,
15,5.0,,d17,False,vharmonyadmin,True,2021-08-19 20:56:09.087909,FAZLADAN GİRİŞ,2021-08-19 20:58:42.069,1.0,betulipek,adyan,Vivaldi Harmony,2021-08-19 20:47:15.678636,,[],SU,
16,34.199999999999996,,b2,False,vivaldisoganli,True,,,2021-07-25 23:30:09.581130,114.0,,vivaldisoganli,Vivaldi Soğanlı,2021-07-25 23:30:00.474538,,[],EL YAPIMI BELÇİKA ÇİKOLATASI GR,
17,16.0,,b3,False,vivaldisoganli,True,,,2021-07-19 23:57:41.523754,1.0,,vivaldisoganli,Vivaldi Soğanlı,2021-07-19 23:48:21.823844,,[],COFFEE LATTE,
18,30.0,,d4,False,vharmony,True,2021-07-26 20:11:53.238952,MUKERER,2021-07-26 20:28:17.286,1.0,zeynepsurucu,umuttomak,Vivaldi Harmony,2021-07-26 20:03:03.328499,,[],VİVALDİ MUZ,
19,212.0,,b7,False,cozluceadmin,True,,,2021-06-01 17:06:49.620,800.0,,cozluceadmin,Vivaldi Özlüce,2021-06-01 17:06:36.775,,[],EL YAPIMI BELÇİKA ÇİKOLATASI GR,
20,20.0,,b1,False,vivaldisoganli,True,,,2021-08-11 23:41:12.901674,4.0,,vivaldisoganli,Vivaldi Soğanlı,2021-08-11 23:40:07.040379,,[],SİYAH ÇAY,
21,5.0,,b4,False,vharmonyadmin,True,2021-09-05 19:33:24.773981,iptal,2021-09-05 19:54:30.044,1.0,zeynepsurucu,adyan,Vivaldi Harmony,2021-09-05 19:25:39.154080,,[],SİYAH ÇAY,
22,5.0,,d17,False,vharmony,True,2021-07-31 22:07:16.244269,İADE,2021-07-31 22:29:14.659,1.0,SamBarista,umuttomak,Vivaldi Harmony,2021-07-31 22:03:29.967335,,[],SU,
23,28.0,,b3,False,vivaldisoganli,True,,,2021-08-03 00:11:24.610319,1.0,,vivaldisoganli,Vivaldi Soğanlı,2021-08-02 23:26:46.591553,,[],SAN SEBASTİAN CHEESECAKE,
24,20.4,,b12,False,cozluceadmin,True,,,2021-08-05 17:52:34.510,80.0,,cozluceadmin,Vivaldi Özlüce,2021-08-05 17:52:10.051,,[],EL YAPIMI BELÇİKA ÇİKOLATASI GR,
25,5.0,,s2,False,cozluceadmin,True,,,2021-08-21 17:04:11.299,1.0,,cozluceadmin,Vivaldi Özlüce,2021-08-21 17:03:15.068,,[],ÇAY,
26,4.25,,d3,False,vharmony,True,2021-08-01 17:18:16.218500,İADE,2021-08-01 17:56:06.304,1.0,cerentomak,umuttomak,Vivaldi Harmony,2021-08-01 17:14:08.497417,,[],SU,
27,28.0,,b2,False,vgorukle,True,,,2021-08-23 21:40:13.909,1.0,,vgorukle,Vivaldi Görükle,2021-08-23 19:08:55.844521,,[],SAN SEBASTİAN CHEESECAKE,
28,300.0,,b1,False,vivaldisoganli,True,,,2021-09-12 21:10:20.711409,1000.0,,vivaldisoganli,Vivaldi Soğanlı,2021-09-12 21:10:12.393041,,[],EL YAPIMI BELÇİKA ÇİKOLATASI GR,
29,32.0,,b2,False,vivaldisoganli,True,,,2021-08-09 23:54:43.176597,2.0,,vivaldisoganli,Vivaldi Soğanlı,2021-08-09 23:54:22.261300,,[],CAPPUCCİNO,
